"filename", "language", "gdshader", "Properties", "GDScript", "Batch", "TOML", "GDResource", "XML", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"e:\Dev\Godot\佛祖放置\Asset\img\Character\Zeus.jpg.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\Asset\img\Thing\coin.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\Asset\img\mogu.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\Scence\UI\Popup.tscn", "GDResource", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 8, 52
"e:\Dev\Godot\佛祖放置\Scence\UI\Skill.tscn", "GDResource", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 17, 108
"e:\Dev\Godot\佛祖放置\Scence\UI\TipText.tscn", "GDResource", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"e:\Dev\Godot\佛祖放置\Scence\UI\UHD.tscn", "GDResource", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 9, 55
"e:\Dev\Godot\佛祖放置\Scence\UI\item.tscn", "GDResource", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 20, 136
"e:\Dev\Godot\佛祖放置\Scence\main.tscn", "GDResource", 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 0, 52, 363
"e:\Dev\Godot\佛祖放置\Scence\test.tscn", "GDResource", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 13, 103
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Dev\Godot\佛祖放置\Script\.VSCodeCounter\2023-04-29_22-58-04\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"e:\Dev\Godot\佛祖放置\Script\Game\OnClick.gd", "GDScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Dev\Godot\佛祖放置\Script\Game\main.gd", "GDScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 19, 103
"e:\Dev\Godot\佛祖放置\Script\Global\Bignumber.gd", "GDScript", 0, 0, 398, 0, 0, 0, 0, 0, 0, 0, 34, 100, 532
"e:\Dev\Godot\佛祖放置\Script\Global\Global.gd", "GDScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 22, 25, 129
"e:\Dev\Godot\佛祖放置\Script\Global\ItemClass.gd", "GDScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"e:\Dev\Godot\佛祖放置\Script\Global\SaveAndLoad.gd", "GDScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
"e:\Dev\Godot\佛祖放置\Script\Global\SkillClass.gd", "GDScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"e:\Dev\Godot\佛祖放置\Script\Global\Static.gd", "GDScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
"e:\Dev\Godot\佛祖放置\Script\Store.gd", "GDScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"e:\Dev\Godot\佛祖放置\Script\UI\Chart.gd", "GDScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\Dev\Godot\佛祖放置\Script\UI\Popup.gd", "GDScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"e:\Dev\Godot\佛祖放置\Script\UI\Skill.gd", "GDScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"e:\Dev\Godot\佛祖放置\Script\UI\TipText.gd", "GDScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Dev\Godot\佛祖放置\Script\UI\item.gd", "GDScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
"e:\Dev\Godot\佛祖放置\Script\UI\ui.gd", "GDScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48
"e:\Dev\Godot\佛祖放置\Script\test.gd", "GDScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"e:\Dev\Godot\佛祖放置\Setting\babel.cfg", "Properties", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"e:\Dev\Godot\佛祖放置\Setting\dist\settings.gd", "GDScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"e:\Dev\Godot\佛祖放置\Setting\dist\数据表\ Items.gd", "GDScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 6, 34
"e:\Dev\Godot\佛祖放置\Setting\dist\数据表\ Skills.gd", "GDScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 6, 16
"e:\Dev\Godot\佛祖放置\Setting\dist\数据表\Sheet1.gd", "GDScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 6, 16
"e:\Dev\Godot\佛祖放置\Setting\export.toml", "TOML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Dev\Godot\佛祖放置\Setting\gen_all.bat", "Batch", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\Dev\Godot\佛祖放置\Setting\gen_pot.bat", "Batch", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\Dev\Godot\佛祖放置\Shader\fault.gdshader", "gdshader", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 68
"e:\Dev\Godot\佛祖放置\addons\apprentice\config\auto_load_config.gd", "GDScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 6, 28
"e:\Dev\Godot\佛祖放置\addons\apprentice\config\config.gd", "GDScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 4, 17
"e:\Dev\Godot\佛祖放置\addons\apprentice\config\example_config.gd", "GDScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 12, 8, 23
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\animation_canvas.gd", "GDScript", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 30, 69, 255
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 11, 76
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\_document.gd", "GDScript", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 39, 30, 152
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\analysis.gd", "GDScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 23, 30, 109
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\data\data_class.gd", "GDScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 4, 13
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\data\objects.gd", "GDScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 16, 23, 107
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\data\struct.gd", "GDScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 13, 14, 57
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\data\token.gd", "GDScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 19, 67
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\generate_node.gd", "GDScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 14, 19, 58
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\analysis\method_map.gd", "GDScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 16, 19, 75
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\bt_node_util.gd", "GDScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 16, 14, 73
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\leaf\action.gd", "GDScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 6, 18
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\leaf\base_do_node.gd", "GDScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 6, 7, 18
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\leaf\condition.gd", "GDScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 6, 18
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\test\editor_script_00.gd", "GDScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 13, 31
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\test\scene_test.gd", "GDScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 8, 27, 119
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\config\test\scene_test.tscn", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 12, 41
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FAction.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FAlways.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FBehaviorTreeRoot.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FCondition.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FDecorator.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FNodeBase.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FParallel.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FSelector.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FSequence.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FTimer.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\icon\FUntil.png.import", "GDResource", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\prefabs\bt_distance_condition.gd", "GDScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 15, 15, 65
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\prefabs\bt_move.gd", "GDScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 8, 10, 31
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\bt_base.gd", "GDScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 9, 9, 29
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\bt_root.gd", "GDScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 24, 32, 126
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\composite\_composite.gd", "GDScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 6, 19
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\composite\_parallel.gd", "GDScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 10, 41
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\composite\_selector.gd", "GDScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 8, 34
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\composite\_sequence.gd", "GDScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 9, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\composite\random_selector.gd", "GDScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 10, 42
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\composite\random_sequence.gd", "GDScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 9, 11, 45
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\decorator\_decorator.gd", "GDScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 5, 26
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\decorator\always.gd", "GDScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 6, 23
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\decorator\counter.gd", "GDScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 11, 38
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\decorator\pendulum.gd", "GDScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 16, 21, 87
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\decorator\reverse.gd", "GDScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 9, 6, 27
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\decorator\until.gd", "GDScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 8, 8, 28
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\leaf\action.gd", "GDScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 8, 11, 30
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\leaf\condition.gd", "GDScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 8, 8, 23
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\behavior_tree\src\leaf\leaf.gd", "GDScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 5, 5, 13
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\camear2d\base_camera_decorator.gd", "GDScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 6, 17
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\camear2d\camera_limit.gd", "GDScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 14, 11, 44
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\camear2d\camera_shake.gd", "GDScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 13, 12, 44
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\camear2d\camera_with_tilemap.gd", "GDScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 10, 11, 46
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\camear2d\camera_zoom.gd", "GDScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 12, 10, 49
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\cast_target.gd", "GDScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\collision_auto_creator.gd", "GDScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 12, 19, 93
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control\control_click_border.gd", "GDScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 11, 36
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control\control_hover_border.gd", "GDScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 8, 28
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control\control_hover_color.gd", "GDScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 9, 6, 39
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control_effect\control_effect.gd", "GDScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 25, 39, 159
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control_effect\fade.gd", "GDScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 9, 31
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control_effect\float.gd", "GDScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 13, 16, 64
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control_effect\offset.gd", "GDScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 13, 10, 46
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control_effect\scale.gd", "GDScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 11, 10, 40
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\control_effect\shake.gd", "GDScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 13, 13, 62
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\damage_body_area\body_area.gd", "GDScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 23, 15, 65
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\damage_body_area\damage_area.gd", "GDScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 29, 17, 83
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\data_management\buff\buff.gd", "GDScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 19, 18, 85
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\data_management\data_management.gd", "GDScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 54, 37, 167
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\drag_move_control.gd", "GDScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 19, 13, 67
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\float_text.gd", "GDScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 5, 43
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\gravity.gd", "GDScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 9, 14, 43
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\lighting\curve.tres", "GDResource", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\lighting\lighting.gd", "GDScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 15, 16, 73
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\move_controller\move_controller.gd", "GDScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 46, 28, 133
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\move_controller\platform_controller.gd", "GDScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 64, 40, 238
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\move_to\move_forward.gd", "GDScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 19, 18, 60
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\move_to\move_to.gd", "GDScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 30, 26, 123
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\move_to\move_to_follow.gd", "GDScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 18, 62
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\move_to\move_to_path.gd", "GDScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 16, 16, 58
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\node_db.gd", "GDScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 42, 32, 170
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\panel_border.gd", "GDScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 6, 14, 92
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\path_texture.gd", "GDScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 21, 13, 75
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\projectile.gd", "GDScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 26, 27, 146
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\projectile_module.gd", "GDScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 49, 20, 127
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\property_management.gd", "GDScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 46, 26, 145
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\sprint.gd", "GDScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 15, 38
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\stage_progress.gd", "GDScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 24, 15, 78
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\state_node.gd", "GDScript", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 149, 83, 442
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\surround.gd", "GDScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 13, 39
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\sway.gd", "GDScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 25, 16, 72
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\texture_color.gd", "GDScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 14, 18, 82
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\timeline\skill_actuator.gd", "GDScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 109, 58, 310
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\timeline\time_line.gd", "GDScript", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 103, 67, 339
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\timer_plus.gd", "GDScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 36, 21, 119
"e:\Dev\Godot\佛祖放置\addons\apprentice\node\turn_controller.gd", "GDScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 39, 32, 136
"e:\Dev\Godot\佛祖放置\addons\apprentice\plugin.cfg", "Properties", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\Dev\Godot\佛祖放置\addons\apprentice\plugin.gd", "GDScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 14, 18, 83
"e:\Dev\Godot\佛祖放置\addons\apprentice\refcount\angle_ratio_cache.gd", "GDScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 10, 10, 35
"e:\Dev\Godot\佛祖放置\addons\apprentice\refcount\counter.gd", "GDScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 11, 28, 91
"e:\Dev\Godot\佛祖放置\addons\apprentice\refcount\gquery.gd", "GDScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 15, 18, 90
